,symbol,pred
1,PLTR,-0.0698328963112369
2,MPWR,-0.0786530528164786
3,AMAT,-0.0794526809959394
4,EXPE,-0.0884038727630852
5,KLAC,-0.121558292189358
6,DG,-0.122572426958488
7,FCX,-0.1227961755725376
8,F,-0.1245290585833444
9,EL,-0.1253558312384012
10,GEV,-0.128675833922551
11,STX,-0.132728994889948
12,INTC,-0.1337633005886903
13,VTRS,-0.1387656514557514
14,TER,-0.1389532599263535
15,LRCX,-0.1410973831861957
16,BEN,-0.1461060807724646
17,HUBB,-0.1511122949912778
18,APP,-0.1584482891437151
19,MU,-0.1586492394858616
20,NXPI,-0.1618246587533112
