,symbol,pred
1,CPB,0.038523643792705
2,CRWD,-0.0076645736949658
3,CPRT,-0.0405983257760151
4,CNP,-0.0467097534545618
5,IBKR,-0.0525781664036152
6,INVH,-0.0536819049679362
7,DOW,-0.0816366013505597
8,IP,-0.0817912534853351
9,DXCM,-0.0873194105196767
10,NI,-0.091294133414283
11,APH,-0.0940879869122214
12,CMG,-0.110562739339955
13,CNC,-0.1139803368374843
14,INTC,-0.1162917982590208
15,EBAY,-0.1171150516761519
16,NWS,-0.1171967649812954
17,EIX,-0.118621634836971
18,AMD,-0.1208666106233967
19,GL,-0.1253348280270107
20,LYB,-0.1286238484074012
