symbol,earnings_date,trading_date,source,confidence,release_time,eps_actual,eps_estimate,eps_surprise_pct
ACGL,2024-02-14,2024-02-15,yahoo,actual,unknown,2.49,2.01,23.85
ACGL,2024-04-29,2024-04-30,yahoo,actual,unknown,2.45,2.09,17.23
ACGL,2024-07-30,2024-07-31,yahoo,actual,unknown,2.57,2.21,16.46
ACGL,2024-10-30,2024-10-31,yahoo,actual,unknown,2.56,2.1,22.16
ACGL,2025-02-10,2025-02-11,yahoo,actual,unknown,2.42,1.93,25.53
ACGL,2025-04-29,2025-04-30,yahoo,actual,unknown,1.54,1.31,17.21
ACGL,2025-07-29,2025-07-30,yahoo,actual,unknown,2.58,2.3,12.21
ACGL,2025-10-27,2025-10-28,yahoo,actual,unknown,3.56,2.43,46.61
ACI,2024-01-09,2024-01-10,yahoo,actual,unknown,0.79,0.66,20.3
ACI,2024-04-22,2024-04-23,yahoo,actual,unknown,0.54,0.52,2.97
ACI,2024-07-23,2024-07-24,yahoo,actual,unknown,0.66,0.68,-2.45
ACI,2024-10-15,2024-10-16,yahoo,actual,unknown,0.51,0.48,6.85
ACI,2025-01-08,2025-01-09,yahoo,actual,unknown,0.71,0.64,10.14
ACI,2025-04-15,2025-04-16,yahoo,actual,unknown,0.46,0.41,11.05
ACI,2025-07-15,2025-07-16,yahoo,actual,unknown,0.55,0.54,1.73
ACI,2025-10-14,2025-10-15,yahoo,actual,unknown,0.44,0.4,10.56
ACM,2024-02-05,2024-02-06,yahoo,actual,unknown,1.05,0.95,10.04
ACM,2024-05-06,2024-05-07,yahoo,actual,unknown,1.04,1.05,-0.77
ACM,2024-08-05,2024-08-06,yahoo,actual,unknown,1.16,1.12,3.24
ACM,2024-11-18,2024-11-19,yahoo,actual,unknown,1.27,1.25,1.89
ACM,2025-02-03,2025-02-04,yahoo,actual,unknown,1.31,1.1,18.57
ACM,2025-05-05,2025-05-06,yahoo,actual,unknown,1.25,1.19,4.84
ACM,2025-08-04,2025-08-05,yahoo,actual,unknown,0.98,1.25,-21.6
ACM,2025-11-18,2025-11-19,yahoo,actual,unknown,1.36,1.34,1.67
ACN,2024-03-21,2024-03-22,yahoo,actual,unknown,2.77,2.66,4.05
ACN,2024-06-20,2024-06-21,yahoo,actual,unknown,3.13,3.16,-0.93
ACN,2024-09-26,2024-09-27,yahoo,actual,unknown,2.79,2.77,0.63
